DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
4/1/2023,0,0,0,73,68,68
4/2/2023,0,0,0,79,55,59
4/3/2023,1.11,0,0,81,55,71
4/4/2023,0,0,0,90,69,78
4/5/2023,0.18,0,0,89,64,64
4/6/2023,0.29,0,0,74,55,55
4/7/2023,0.62,0,0,58,51,52
4/8/2023,1.94,0,0,59,52,53
4/9/2023,0,0,0,71,48,56
4/10/2023,0,0,0,75,49,50
4/11/2023,0,0,0,79,44,49
4/12/2023,0,0,0,80,43,60
4/13/2023,0,0,0,71,57,58
4/14/2023,0.27,0,0,74,55,60
4/15/2023,0,0,0,82,54,65
4/16/2023,0.1,0,0,69,50,50
4/17/2023,0,0,0,77,43,48
4/18/2023,0,0,0,84,41,53
4/19/2023,0,0,0,87,47,64
4/20/2023,0,0,0,88,53,68
4/21/2023,1.27,0,0,73,47,58
4/22/2023,0,0,0,76,51,54
4/23/2023,0,0,0,68,47,50
4/24/2023,0,0,0,72,47,49
4/25/2023,0,0,0,74,44,56
4/26/2023,0.27,0,0,69,54,60
4/27/2023,2.05,0,0,76,59,62
4/28/2023,0,0,0,75,58,59
4/29/2023,0.23,0,0,80,52,60
4/30/2023,0,0,0,69,46,53
5/1/2023,0,0,0,75,45,49
5/2/2023,0,0,0,79,42,49
5/3/2023,0,0,0,78,42,49
5/4/2023,0,0,0,82,45,62
5/5/2023,0,0,0,72,59,64
5/6/2023,0,0,0,85,63,72
5/7/2023,0.12,0,0,86,67,69
5/8/2023,0,0,0,84,66,70
5/9/2023,0,0,0,72,42,67
5/10/2023,0,0,0,84,64,74
5/11/2023,0.89,0,0,84,66,67
5/12/2023,0.1,0,0,89,65,67
5/13/2023,0,0,0,89,65,73
5/14/2023,0,0,0,94,67,75
5/15/2023,0,0,0,96,69,75
5/16/2023,0.15,0,0,92,69,71
5/17/2023,0.06,0,0,85,69,70
5/18/2023,0,0,0,86,67,72
5/19/2023,0,0,0,81,62,69
5/20/2023,0.18,0,0,80,68,69
5/21/2023,0,0,0,82,61,66
5/22/2023,0.38,0,0,87,65,69
5/23/2023,0,0,0,73,65,65
5/24/2023,0.03,0,0,83,64,64
5/25/2023,0,0,0,86,58,65
5/26/2023,0,0,0,84,60,68
5/27/2023,0.02,0,0,86,60,66
5/28/2023,0,0,0,82,58,69
5/29/2023,0,0,0,87,60,66
5/30/2023,0,0,0,87,59,68
5/31/2023,0,0,0,88,63,72
6/1/2023,0,0,0,88,66,71
6/2/2023,0,0,0,91,65,69
6/3/2023,0,0,0,95,65,71
6/4/2023,0,0,0,92,63,75
6/5/2023,0.16,0,0,94,66,68
6/6/2023,0,0,0,91,65,71
6/7/2023,0,0,0,94,66,68
6/8/2023,0.15,0,0,87,64,71
6/9/2023,0,0,0,88,60,72
6/10/2023,0.12,0,0,91,65,72
6/11/2023,0,0,0,84,60,74
6/12/2023,0.64,0,0,83,67,68
6/13/2023,0,0,0,83,66,72
6/14/2023,0.3,0,0,85,70,73
6/15/2023,0.25,0,0,91,70,74
6/16/2023,0.97,0,0,86,69,70
6/17/2023,0,0,0,93,66,75
6/18/2023,1.73,0,0,87,69,72
6/19/2023,0.07,0,0,91,71,76
6/20/2023,0,0,0,93,71,75
6/21/2023,0.34,0,0,87,71,72
6/22/2023,0.07,0,0,86,68,73
6/23/2023,0,0,0,92,67,72
6/24/2023,0,0,0,95,71,76
6/25/2023,1.04,0,0,99,71,75
6/26/2023,0,0,0,95,72,77
6/27/2023,0,0,0,97,73,76
6/28/2023,0,0,0,96,69,78
6/29/2023,0,0,0,99,73,81
6/30/2023,0,0,0,99,75,81
7/1/2023,0.6,0,0,100,78,78
7/2/2023,0,0,0,89,74,78
7/3/2023,0.69,0,0,95,74,74
7/4/2023,0.08,0,0,89,73,76
7/5/2023,0,0,0,94,74,76
7/6/2023,0,0,0,95,71,76
7/7/2023,0.2,0,0,92,76,78
7/8/2023,2.02,0,0,94,74,75
7/9/2023,1.43,0,0,90,73,76
7/10/2023,0,0,0,90,74,74
7/11/2023,0,0,0,93,72,80
7/12/2023,0.27,0,0,91,76,77
7/13/2023,3.21,0,0,85,76,78
7/14/2023,0.6,0,0,90,74,78
7/15/2023,0.02,0,0,91,76,81
7/16/2023,0.22,0,0,92,74,77
7/17/2023,0,0,0,95,73,79
7/18/2023,0,0,0,98,76,77
7/19/2023,0,0,0,96,74,84
7/20/2023,0,0,0,99,79,83
7/21/2023,0,0,0,96,72,76
7/22/2023,0.58,0,0,90,73,74
7/23/2023,0,0,0,92,66,70
7/24/2023,0,0,0,93,69,72
7/25/2023,0,0,0,95,68,72
7/26/2023,0,0,0,97,72,79
7/27/2023,0,0,0,99,75,80
7/28/2023,0,0,0,96,75,79
7/29/2023,0,0,0,100,77,82
7/30/2023,0,0,0,95,73,74
7/31/2023,0,0,0,96,74,77
8/1/2023,0,0,0,97,76,78
8/2/2023,0,0,0,96,72,80
8/3/2023,1.33,0,0,100,76,77
8/4/2023,0.8,0,0,97,74,77
8/5/2023,0.46,0,0,99,73,79
8/6/2023,0,0,0,95,77,80
8/7/2023,0,0,0,98,76,76
8/8/2023,0.43,0,0,85,72,74
8/9/2023,0,0,0,97,70,86
8/10/2023,0.72,0,0,97,70,86
8/11/2023,0.51,0,0,95,76,79
8/12/2023,0.17,0,0,100,78,79
8/13/2023,0,0,0,99,78,81
8/14/2023,0,0,0,102,80,84
8/15/2023,0,0,0,89,73,74
